"Agency.Name","ABN","Value","Description","Procurement.Method","Title","Common.Title","Count","Total","Limited","Open","Prequalified","Supplier.Name"
"Australian Taxation Office","66086210344",203300,"Review of ICT Teams","Open tender","Business administration services","Business administration services",2,221116.46,0,203300,17816.46,"THE NOUS GROUP"
"Department of Finance and Deregulation","66086210344",20000,"Facilitation Services for the Department of Finance and Deregulation","Limited tender","Strategic planning consultation services","Strategic planning consultation services",1,20000,20000,0,0,"THE NOUS GROUP"
"Department of the Prime Minister and Cabinet","66086210344",85930,"Production of governance documents for COAG Reform Council","Limited tender","Management advisory services","Education and Training Services",2,154141,85930,68211,0,"THE NOUS GROUP"
"Department of Education Employment and Workplace Relations","66086210344",235200,"Research and analysis to map out the regulatory framework for vocational education and training, higher education and international education","Open tender","Research programs","Research programs",1,235200,0,235200,0,"THE NOUS GROUP"
"Department of Industry, Innovation, Science, Research and Tertiary Education","66086210344",324500,"Research on the Role of Skills and Skills Utilization","Limited tender","Research programs","Corporate objectives or policy development",2,341715,341715,0,0,"THE NOUS GROUP"
"Cancer Australia","66086210344",10450,"2012-2013 Cancer Australia Values Workshop.","Limited tender","Human resources services","Human resources services",1,10450,10450,0,0,"THE NOUS GROUP"
"Australian Federal Police","66086210344",1e+05,"Development and advice on&nbsp; the business plan model","Open tender","Management advisory services","Management advisory services",1,1e+05,0,1e+05,0,"THE NOUS GROUP"
"Department of Defence","66086210344",967780,"Provision of a Scoping Study for Workforce Plan","Open tender","Strategic planning consultation services","Strategic planning consultation services",18,3073277.78,573041.58,2500236.2,0,"THE NOUS GROUP"
"National Blood Authority","66086210344",27720,"Consultancy on ICT Governance","Limited tender","Project management","Project management",1,27720,27720,0,0,"THE NOUS GROUP"
"Department of Immigration and Citizenship","66086210344",177250,"Executive Coaching","Open tender","Management support services","Education and Training Services",4,264979.75,35264.75,229715,0,"THE NOUS GROUP"
"Department of Regional Australia, Local Government, Arts and Sport","66086210344",19064,"Executive Team Development Facilitation","Limited tender","Corporate objectives or policy development","Corporate objectives or policy development",1,19064,19064,0,0,"THE NOUS GROUP"
"Migration Review Tribunal and Refugee Review Tribunal (MRT-RRT)","66086210344",19910.02,"Client Satisfaction Training Workshops","Limited tender","Education and Training Services","Education and Training Services",1,19910.02,19910.02,0,0,"THE NOUS GROUP"
"Department of Veterans' Affairs","66086210344",127820,"Provide a range of initiatives aimed at continuing to improve DVA's organisational culture with a focus on performance improvement and accountabilities.","Open tender","Strategic planning consultation services","Strategic planning consultation services",1,127820,0,127820,0,"THE NOUS GROUP"
"Australian Bureau of Statistics","66086210344",26400,"Facilitation one day workshop.","Limited tender","Business administration services","Business administration services",3,66086.37,42086.37,24000,0,"THE NOUS GROUP"
"Austrade","66086210344",25000,"Create content for 'doing business' guide on investment website.","Open tender","Editorial and support services","Editorial and support services",2,45790,0,45790,0,"THE NOUS GROUP"
"Department of Human Services","66086210344",2e+05,"External Training Services","Open tender","Education and Training Services","Education and Training Services",8,398973.97,40810,358163.97,0,"THE NOUS GROUP"
"AusAid","66086210344",21560,"Review of Guidelines for Engagement and Recruitment of International Specialists&nbsp; (Canberra)","Limited tender","Strategic planning consultation services","Strategic planning consultation services",3,49405,35255,14150,0,"THE NOUS GROUP"
"Department of Families, Housing, Community Services and Indigenous Affairs","66086210344",357070,"Reducing violence against women and their children: National Centre of Excellence","Open tender","Business intelligence consulting services","Strategic planning consultation services",5,731299,0,731299,0,"THE NOUS GROUP"
"Australian Competition and Consumer Commission","66086210344",2e+05,"Management advisory services","Open tender","Management advisory services","Education and Training Services",2,345920,0,345920,0,"THE NOUS GROUP"
"Australian National Audit Office (ANAO)","66086210344",85000,"Capability Framework - HR Alignment","Limited tender","Business intelligence consulting services","Business intelligence consulting services",2,167830.33,85000,82830.33,0,"THE NOUS GROUP"
"Australian Public Service Commission","66086210344",13460.7,"Strategic Planning Workshop","Open tender","Education and Training Services","Education and Training Services",1,13460.7,0,13460.7,0,"THE NOUS GROUP"
"Department of Sustainability, Environment, Water, Population and Communities","66086210344",25410,"Provision of guideline preparation services","Open tender","Water resources development and oversight","Water resources development and oversight",1,25410,0,25410,0,"THE NOUS GROUP"
"Department of Defence","66088277561",280154.58,"Provide IN-SERVICE support services to DSN in support of the ICI inbound Web Browsing Project","Limited tender","Software","Military watercraft",2,306896.24,280154.58,26741.66,0,"BERKELEY INFORMATION TECHNOLOGY"
"Defence Materiel Organisation","66088277561",2473738.34,"JOCWEB INSERVICE SUPPORT","Limited tender","Software","Software",44,9076451.4,5401688.56,3674762.84,0,"BERKELEY INFORMATION TECHNOLOGY"
"Department of Defence","66088868062",44660,"Repair and maintenance of chemical agent detector","Limited tender","Atomic and nuclear energy machinery and equipment","Measuring and observing and testing instruments",4,109417,109417,0,0,"SMITHS DETECTION (AUSTRALIA) PTY LTD"
"Department of Parliamentary Services","66088868062",64295,"Supply and installation of security X-Ray machine","Limited tender","Security and control equipment","Security and control equipment",1,64295,64295,0,0,"SMITHS DETECTION (AUSTRALIA) PTY LTD"
"Australian Federal Police","66088868062",22000,"Maintenance and support services of laboratory equipment","Limited tender","Laboratory and scientific equipment","Laboratory and scientific equipment",2,39864,39864,0,0,"SMITHS DETECTION (AUSTRALIA) PTY LTD"
"Family Court of Australia","66088868062",118360,"Maintenance and Support of Security Detection Equipment","Limited tender","Security surveillance and detection","Security surveillance and detection",1,118360,118360,0,0,"SMITHS DETECTION (AUSTRALIA) PTY LTD"
"Defence Materiel Organisation","66088868062",71500,"Provision of components for chemical detection equipment","Limited tender","Surveillance and detection equipment","Measuring and observing and testing instruments",2,94098.4,94098.4,0,0,"SMITHS DETECTION (AUSTRALIA) PTY LTD"
"Australian Customs and Border Protection Service","66088868062",618112,"125135 - Provision of Security Related Services","Open tender","Security or access control systems","Refurbishing services",18,2091727.58,840709.33,1251018.25,0,"SMITHS DETECTION (AUSTRALIA) PTY LTD"
"Department of Agriculture Fisheries and Forestry","66088868062",931803.71,"Supply and maintenance of x-ray machines and related services.","Open tender","Tools and General Machinery","Tools and General Machinery",6,1136554.75,17710,1118844.75,0,"SMITHS DETECTION (AUSTRALIA) PTY LTD"
"Defence Materiel Organisation","66092605742",19594637.38,"Extension to Contract No 5890010 - FTR F88 Weapons","Limited tender","Arms and ammunition accessories","Light weapons and ammunition",35,61572856.98,61154231.82,0,418625.16,"THALES AUSTRALIA ADI MUNITION P/L"
"Office of the Director of Public Prosecutions","66104535837",62238,"Purchase furniture for ACT office","Open tender","Office furniture","Office furniture",1,62238,0,62238,0,"INO CONTRACT FURNITURE PTY LTD"
"National Museum of Australia","66104535837",880000,"Supply of Workstations","Open tender","Interior finishing materials","Interior finishing materials",1,880000,0,880000,0,"INO CONTRACT FURNITURE PTY LTD"
"Department of Parliamentary Services","66104535837",29500.9,"Supply and Installation of Workstations","Open tender","Interior finishing materials","Interior finishing materials",1,29500.9,0,29500.9,0,"INO CONTRACT FURNITURE PTY LTD"
"Attorney-General's Department","66104535837",13167,"4NC Ino Loose Furniture","Open tender","General building construction","General building construction",1,13167,0,13167,0,"INO CONTRACT FURNITURE PTY LTD"
"Department of Industry, Innovation, Science, Research and Tertiary Education","66104535837",26532,"Executive Suite - 13.031","Limited tender","Office furniture","Office furniture",7,130517.2,56487.2,74030,0,"INO CONTRACT FURNITURE PTY LTD"
"Department of Health and Ageing","66120398067",116984707.1,"Supply of Seasonal &amp; Pandemic Influenza Vaccines","Open tender","Comprehensive health services","Comprehensive health services",1,116984707.1,0,116984707.1,0,"CSL Biotherapies Pty Ltd"
"Department of Human Services","66126793860",79022.85,"Hardware Maintenance","Limited tender","Computer hardware maintenance or support","Computer hardware maintenance or support",1,79022.85,79022.85,0,0,"Datapod (Australia) Pty Ltd"
"CSIRO","66126793860",1971710,"The supply and installation of a proven, standardised, modular, expandable Modular Data Centre.","Open tender","Computer Equipment and Accessories","Computer Equipment and Accessories",1,1971710,0,1971710,0,"Datapod (Australia) Pty Ltd"
"Attorney-General's Department","66126793860",24195.16,"Maintenance for Bruce Data centre","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",1,24195.16,0,0,24195.16,"Datapod (Australia) Pty Ltd"
"Insolvency and Trustee Service Australia (ITSA)","66126793860",12801.42,"Computer Hardware","Limited tender","Computer hardware maintenance or support","Components for information technology or broadcasting or telecommunications",2,24905.82,24905.82,0,0,"Datapod (Australia) Pty Ltd"
"Department of Defence","66126793860",351681,"Purchase of Computer Equipment","Prequalified tender","Computer Equipment and Accessories","Computer Equipment and Accessories",2,381206.1,0,0,381206.1,"Datapod (Australia) Pty Ltd"
"Australian Electoral Commission","66126793860",17193.65,"Hardware Maintenance","Prequalified tender","Computer hardware maintenance or support","Computer hardware maintenance or support",1,17193.65,0,0,17193.65,"Datapod (Australia) Pty Ltd"
"Department of the Treasury","66126793860",76464.3,"*Data Centre Maintenance","Limited tender","Computer hardware maintenance or support","Computer hardware maintenance or support",1,76464.3,76464.3,0,0,"Datapod (Australia) Pty Ltd"
"Department of Health and Ageing","66329169412",33921000,"Queensland ACAP Agreement 2012-2014","Limited tender","Individual health screening and assessment services","Individual health screening and assessment services",1,33921000,33921000,0,0,"ROYAL BRISBANE HOSPITAL & HEALTH"
"Department of Defence","66329169412",17150000,"Military Surgical Team Services.","Limited tender","Comprehensive health services","Comprehensive health services",12,17325211.01,17301925.81,10085.2,13200,"ROYAL BRISBANE HOSPITAL & HEALTH"
"Department of Foreign Affairs and Trade","66394749447",68324.07,"Provision of Temporary Personnel Services","Open tender","Temporary personnel services","Temporary personnel services",3,125846.87,0,125846.87,0,"DFP Recruitment Services"
"Department of Human Services","66394749447",201740.69,"Recruitment Services","Open tender","Human resources services","Human resources services",28,2420362.12,0,2420362.12,0,"DFP Recruitment Services"
"Department of Defence","66394749447",75000,"SCANNING CONTRACTOR","Limited tender","Management support services","Management support services",2,88000,88000,0,0,"DFP Recruitment Services"
"Bureau of Meteorology","66394749447",190517.25,"Professional Services - Temporary Personnel Project Manager","Open tender","Temporary personnel services","Temporary personnel services",27,1146442.6,16500,1034887.2,95055.4,"DFP Recruitment Services"
"Australian Customs and Border Protection Service","66394749447",370000,"114067 - Provision of Recruitment Related Services","Open tender","Personnel recruitment","Personnel recruitment",7,844540,193270,651270,0,"DFP Recruitment Services"
"Australian Securities and Investments Commission","66394749447",44000,"Agency Staff","Limited tender","Personnel recruitment","Personnel recruitment",2,65397.49,65397.49,0,0,"DFP Recruitment Services"
"Australian Communications and Media Authority (ACMA)","66394749447",60000,"Contractor for Telecom Licensing and Numbering Section","Open tender","Temporary personnel services","Temporary personnel services",3,151984.75,0,151984.75,0,"DFP Recruitment Services"
"Australian Taxation Office","66394749447",1522500,"PROVISION OF CONTRACTOR SERVICES","Open tender","Temporary personnel services","Personnel recruitment",8,4362549.81,391213.84,3873742.47,97593.5,"DFP Recruitment Services"
"Department of Families, Housing, Community Services and Indigenous Affairs","66394749447",55000,"Contract Manager","Open tender","Temporary personnel services","Temporary personnel services",3,105139.12,0,105139.12,0,"DFP Recruitment Services"
"Department of Immigration and Citizenship","66394749447",79572.42,"DHS Recruitment Panel for Recruitment Selection","Open tender","Personnel recruitment","Personnel recruitment",2,100172.68,0,100172.68,0,"DFP Recruitment Services"
"Department of Immigration and Citizenship","66422813021",33357474.99,"HOTEL ROOMS - ACCOMODATION REPAIRS &amp; MAINTENANCE&nbsp;FOR CLIENTS&nbsp;IN DARWIN.","Limited tender","Hotel rooms","Hotel rooms",1,33357474.99,33357474.99,0,0,"DARWIN AIRPORT RESORT OPERATIONS"
"Department of Immigration and Citizenship","66791296287",926641.89,"Torture & Trauma Counselling Services - SA","Limited tender","Rehabilitation services","Refugee programs",2,1013266.89,1013266.89,0,0,"SURVIVORS OF TORTURE AND"
"Defence Materiel Organisation","67003343271",641586,"STORAGE AND MAINTENANCE","Limited tender","Maintenance or support fees","Fluid and gas distribution",129,6627637.41,5860847.69,435865,330924.72,"H I FRASER PTY LTD"
"Department of Human Services","67004454666",1048940.91,"Lease at Burwood SC (Medciare) NSW","Open tender","Lease and rental of property or building","Lease and rental of property or building",5,3525510.45,0,3525510.45,0,"P.T. Ltd"
"Office of the Fair Work Ombudsman","67005944203",68200,"Offsite storage and record holdings.","Open tender","Document storage services","Document storage services",1,68200,0,68200,0,"Iron Mountain Australia Pty Ltd"
"Department of Health and Ageing - Therapeutic Goods Administration","67005944203",314568.24,"Off-site Storage&nbsp;","Limited tender","Document storage services","Document storage services",1,314568.24,314568.24,0,0,"Iron Mountain Australia Pty Ltd"
"Defence Materiel Organisation","67005944203",17285.66,"OFF SITE DATA STORAGE","Limited tender","Media storage","Media storage",1,17285.66,17285.66,0,0,"Iron Mountain Australia Pty Ltd"
"Australian Fisheries Management Authority","67005944203",16500,"Records storage and destruction services","Limited tender","Document storage services","Document storage services",1,16500,16500,0,0,"Iron Mountain Australia Pty Ltd"
"Department of Defence","67005944203",161150,"Supply records management / Archival Services","Limited tender","Specialised warehousing and storage","Specialised warehousing and storage",2,227150,227150,0,0,"Iron Mountain Australia Pty Ltd"
"Australian Research Council","67005944203",46200,"Records Storage 2012-13","Limited tender","File archive storage","File archive storage",2,66671.22,66671.22,0,0,"Iron Mountain Australia Pty Ltd"
"AusAid","67005944203",19173.85,"Corporate Services - File storage and retieval services (AusAID Canberra)","Limited tender","File archive storage","File archive storage",1,19173.85,19173.85,0,0,"Iron Mountain Australia Pty Ltd"
"Australian Pesticides and Veterinary Medicines Authority","67005944203",60000,"Record storage and delivery services","Prequalified tender","File archive storage","File archive storage",1,60000,0,0,60000,"Iron Mountain Australia Pty Ltd"
"Australian Customs and Border Protection Service","67005944203",20000,"CMO032546 - Storage & Removals","Limited tender","Relocation services","Relocation services",1,20000,20000,0,0,"Iron Mountain Australia Pty Ltd"
"Department of Human Services","67005944203",6710673.2,"Record Management Services","Open tender","File archive storage","File archive storage",2,6744907.4,0,6744907.4,0,"Iron Mountain Australia Pty Ltd"
"Department of Parliamentary Services","67005944203",26400,"Offsite storage of media","Limited tender","Media storage","Media storage",1,26400,26400,0,0,"Iron Mountain Australia Pty Ltd"
"Department of Finance and Deregulation","67005944203",438790,"PROVISION OF OFFSITE RECORDS STORAGE","Open tender","Document storage services","Document storage services",4,1019788.93,160866.5,858922.43,0,"Iron Mountain Australia Pty Ltd"
"Department of Climate Change and Energy Efficiency","67005944203",165000,"Record Storage","Open tender","File archive storage","File archive storage",1,165000,0,165000,0,"Iron Mountain Australia Pty Ltd"
"Australian Public Service Commission","67005944203",12496,"File sentencing","Limited tender","File archive storage","File archive storage",1,12496,12496,0,0,"Iron Mountain Australia Pty Ltd"
"Defence Materiel Organisation","67006898906",2713865.2,"FPR 23 SERIAL 19 A-C TIERS AND POUCHES","Limited tender","Arms and ammunition accessories","Personal safety and protection",64,26372526.3,15392168.31,10980357.99,0,"AUSTRALIAN DEFENCE APPAREL"
"Department of Defence","67006898906",32310.85,"Camoflage Pouches","Limited tender","Uniforms","Uniforms",1,32310.85,32310.85,0,0,"AUSTRALIAN DEFENCE APPAREL"
"Department of Sustainability, Environment, Water, Population and Communities","67013663038",140788,"Environmental Evaluation Services","Open tender","Professional procurement services","Professional procurement services",1,140788,0,140788,0,"Alluvium Consulting Pty Ltd"
"Murray-Darling Basin Authority","67013663038",816480,"Advisory Services for the Basin Plan Monitoring and Evaluation Program (MEP)","Open tender","Environmental management","Environmental management",2,1040209,0,1040209,0,"Alluvium Consulting Pty Ltd"
"National Water Commission","67013663038",11616,"Scoping study for web-based interactive Australian environmental water management report","Open tender","Environmental management","Environmental management",1,11616,0,11616,0,"Alluvium Consulting Pty Ltd"
"Department of Agriculture Fisheries and Forestry","67050611642",21100,"Provision of audit training services","Limited tender","Education and Training Services","Education and Training Services",2,39392.51,39392.51,0,0,"SAI GLOBAL LTD"
"Department of Education Employment and Workplace Relations","67050611642",22627,"Renewal of Standards Online Premium subscription","Limited tender","Electronic reference material","Electronic reference material",1,22627,22627,0,0,"SAI GLOBAL LTD"
"Department of Veterans' Affairs","67050611642",24607,"Provision of certification services under the ISO9001:2008 Quality Management standard","Limited tender","Audit services","Audit services",1,24607,24607,0,0,"SAI GLOBAL LTD"
"Department of Infrastructure and Transport","67050611642",22000,"Lead Auditor Training","Limited tender","Education and Training Services","Education and Training Services",2,33944.8,33944.8,0,0,"SAI GLOBAL LTD"
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division","67050611642",22627,"Subscription to Australian Standards Online","Limited tender","Electronic reference material","Electronic reference material",1,22627,22627,0,0,"SAI GLOBAL LTD"
"Department of Health and Ageing - Therapeutic Goods Administration","67050611642",26964.39,"Renewal of Standards eSelect Services","Limited tender","Electronic reference material","Electronic reference material",2,42914.39,42914.39,0,0,"SAI GLOBAL LTD"
"Defence Materiel Organisation","67050611642",55594,"AUDITING SERVICES","Open tender","Audit services","Audit services",10,220188.59,107142.14,89484.45,23562,"SAI GLOBAL LTD"
"Australian Communications and Media Authority (ACMA)","67050611642",14550.92,"Renewal of Subscription to Standards Online Premium Service","Limited tender","Online database information retrieval systems","Online database information retrieval systems",1,14550.92,14550.92,0,0,"SAI GLOBAL LTD"
"Department of Human Services","67050611642",10000,"Audit Services","Limited tender","Audit services","Audit services",1,10000,10000,0,0,"SAI GLOBAL LTD"
"Royal Australian Mint","67050611642",19625.65,"GENERIC SERVICE","Limited tender","Audit services","Audit services",3,52754.29,52754.29,0,0,"SAI GLOBAL LTD"
"Department of Parliamentary Services","67050611642",13284.15,"On Line database access Premium renewal 30/7/12-30/7/13","Limited tender","Electronic reference material","Electronic reference material",1,13284.15,13284.15,0,0,"SAI GLOBAL LTD"
"Department of Immigration and Citizenship","67050611642",10420.2,"Annual Subscription Fee","Limited tender","Electronic reference material","Electronic reference material",1,10420.2,10420.2,0,0,"SAI GLOBAL LTD"
"Department of Health and Ageing","67050611642",56100,"Development of audit training management stategy for Office of Hearing Services","Prequalified tender","Education and Training Services","Education and Training Services",2,68500,12400,0,56100,"SAI GLOBAL LTD"
"Department of Defence","67050611642",380020.01,"Australian building standards and codes","Limited tender","Electronic reference material","Education and Training Services",16,637056.26,559159.73,33173.17,44723.36,"SAI GLOBAL LTD"
"Department of Industry, Innovation, Science, Research and Tertiary Education","67050611642",22627,"Australian Standards Subscription 02/12 - 02/13","Limited tender","Business administration services","Business administration services",3,55684.37,55684.37,0,0,"SAI GLOBAL LTD"
"Social Security Appeals Tribunal","67052475911",156739.75,"Wilson Security for all state offices","Prequalified tender","Security guard services","Security guard services",3,261060.49,0,0,261060.49,"Wilson Security"
"Australian Taxation Office","67052475911",30132284,"Security Guarding Services","Open tender","Security guard services","Security guard services",1,30132284,0,30132284,0,"Wilson Security"
"Department of Resources Energy and Tourism","67052475911",75000,"Provision of car parking in Perth for the National Offshore Petroleum Titles Administrator","Limited tender","Parking fees","Parking fees",2,1e+05,1e+05,0,0,"Wilson Security"
"Federal Court of Australia","67052475911",3337626,"Proportional Contribution: Building Security Services Adelaide, Brisbane, Canberra, Hobart, Melbourne, and Perth Registries","Open tender","Security guard services","Security guard services",1,3337626,0,3337626,0,"Wilson Security"
"Australian Communications and Media Authority (ACMA)","67052475911",150000,"Parking for Melbourne Office","Limited tender","Lease and rental of property or building","Lease and rental of property or building",2,160558,160558,0,0,"Wilson Security"
"Department of Broadband Communications and the Digital Economy","67052475911",48000,"Car Parking","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,48000,48000,0,0,"Wilson Security"
"Administrative Appeals Tribunal","67052475911",378909,"Extension on security services contract at Commonwealth Law Court buildings in Brisbane and Hobart.&nbsp; Lead agency is Family Court of Australia and AAT being a participating jurisdiction.","Open tender","Security guard services","Security guard services",1,378909,0,378909,0,"Wilson Security"
"Australian Competition and Consumer Commission","67052475911",90000,"Parking Fees","Limited tender","Parking fees","Parking fees",1,90000,90000,0,0,"Wilson Security"
"Department of Human Services","67052475911",24348.55,"Melbourne onsite parking bays","Limited tender","Taxicab services","Parking fees",2,48299.95,48299.95,0,0,"Wilson Security"
"Department of the Treasury","67052475911",15000,"Parking Fees 2012/13","Limited tender","Parking fees","Parking fees",1,15000,15000,0,0,"Wilson Security"
"National Museum of Australia","67052475911",3957591.38,"Security Services","Open tender","Security guard services","Security guard services",1,3957591.38,0,3957591.38,0,"Wilson Security"
"Defence Materiel Organisation","67059984708",1243931.28,"DEFENCE ENGINEERING INTERNSHIP PROGRAM SELECTED 3RD YEAR ENGINEERING STUDENTS DEFENCE INDUSTRY","Open tender","Education and Training Services","Education and Training Services",2,1404961.68,0,1404961.68,0,"AITEC PTY LTD"
"Department of Defence","67060937171",753205.76,"Provision of Science Corporate Information Systems SCIS Helpdesk Services","Open tender","Professional engineering services","Management advisory services",6,1428859.13,55000,1373859.13,0,"DIGITAL (DIGEST) DATA DESIGN PTY"
"IP Australia","67060937171",16489,"Equipment Refresh Activities","Open tender","Temporary personnel services","Temporary personnel services",1,16489,0,16489,0,"DIGITAL (DIGEST) DATA DESIGN PTY"
"AusAid","67060937171",98670,"Corporate Services - IT Recruitment","Open tender","Relocation services","Data services",2,194370,0,98670,95700,"DIGITAL (DIGEST) DATA DESIGN PTY"
"Australian Transport Safety Bureau","67060937171",107157.6,"SOE Development","Prequalified tender","Software","Software",1,107157.6,0,0,107157.6,"DIGITAL (DIGEST) DATA DESIGN PTY"
"Defence Materiel Organisation","67060937171",27586.57,"INFORMATION SYSTEMS AND DATA SUPPORT","Prequalified tender","Military watercraft","Military watercraft",1,27586.57,0,0,27586.57,"DIGITAL (DIGEST) DATA DESIGN PTY"
"Department of Parliamentary Services","67065576052",655642.05,"Upgrade to the 2nd Floor Library Construction Services at Parliament House","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",13,2656486.52,18354.64,0,2638131.88,"Manteena Pty Ltd"
"Australian Communications and Media Authority (ACMA)","67065576052",6469904.1,"Construction Management and Construction Costs for Red Building Benjamin Offices","Open tender","General building construction","General building construction",1,6469904.1,0,6469904.1,0,"Manteena Pty Ltd"
"Department of Foreign Affairs and Trade","67065576052",167095.5,"Provision of Building Construction and Support and Maintenance and Repair Services","Limited tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",3,409406.8,409406.8,0,0,"Manteena Pty Ltd"
"Australian Customs and Border Protection Service","67065576052",100691,"126552 - Provision of Construction Related Services","Open tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",1,100691,0,100691,0,"Manteena Pty Ltd"
"AusAid","67065576052",93527.5,"Corporate services - property (East Timor)","Limited tender","Feasibility studies or screening of project ideas","Feasibility studies or screening of project ideas",1,93527.5,93527.5,0,0,"Manteena Pty Ltd"
"Department of Immigration and Citizenship","67065576052",161700,"Project management office upgrade for Wahsington","Limited tender","Workstations and office packages","Project management",3,345180,314050,0,31130,"Manteena Pty Ltd"
"Australian Federal Police","67065576052",672496.14,"Provision of project management of capital works in Sydney","Open tender","Project management","Project management",8,1954363.4,0,1954363.4,0,"Manteena Pty Ltd"
"Defence Materiel Organisation","67071476081",3306262.85,"Explosive Ordnance","Limited tender","Light weapons and ammunition","Aerospace systems and components and equipment",17,8680311.23,8086187.12,0,594124.11,"AVALON SYSTEMS"
"Department of Defence","67071476081",248600,"Sonobuoy","Limited tender","Surveillance and detection equipment","Surveillance and detection equipment",5,399026.1,388026.1,0,11000,"AVALON SYSTEMS"
"Department of Human Services","67077870243",1222004.32,"Lease at&nbsp;Service Centre, Bankstown, NSW&nbsp;(Medicare)","Open tender","Lease and rental of property or building","Lease and rental of property or building",3,1345839,0,1345839,0,"CPT Custodian Ptv Ltd"
"Department of Defence","67092368486",178687.66,"Inventory Optimisation Disposal Project","Limited tender","Management advisory services","Management advisory services",9,1149413.57,1149413.57,0,0,"WORKFORCE TRAINING SOLUTIONS PTY"
"Defence Materiel Organisation","67092368486",243234.78,"Engagement of Skilled Worforce","Open tender","Temporary personnel services","Temporary personnel services",5,656677.06,0,656677.06,0,"WORKFORCE TRAINING SOLUTIONS PTY"
"Bureau of Meteorology","67092596480",36184.93,"SHIP AWS, AUGUST 2012","Limited tender","Marine transport","Telecommunications media services",12,340959.94,204391.16,136568.78,0,"Inmarsat Solutions B.V."
"Australian Maritime Safety Authority","67092596480",6e+06,"Provision of INMARSAT Satellite Services","Limited tender","Satellites","Satellites",1,6e+06,6e+06,0,0,"Inmarsat Solutions B.V."
"Family Court of Australia","67094710942",1369052,"Property Lease 29 Molesworth Street Lismore","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,1369052,1369052,0,0,"Clarence Property Corporation Pty Ltd"
"National Capital Authority","67099641871",1027921.4,"NATIONAL WORKERS MEMORIAL Site Works Head Contract Pyramid Corporation Pty Ltd","Limited tender","Roads and landscape","General building construction",2,1038481.4,1038481.4,0,0,"Pyramid Corporation Pty Ltd"
"Department of Human Services","67103003603",21254418,"Lease at 90 Crown Street, Wollongong, NSW","Open tender","Lease and rental of property or building","Lease and rental of property or building",2,23088668,0,23088668,0,"Eclipse Property Group"
"Defence Materiel Organisation","67110356048",175276.51,"CHANGE MANAGEMENT FACILITATOR TO ASSIST IN THE IMPLEMENTATION OF FINANCIAL SHARED SERVICES","Limited tender","Accounting services","Accounting services",4,377133.26,289495.01,87638.25,0,"ALLEGANY CONSULTING PTY LTD"
"Australian Competition and Consumer Commission","67110356048",390000,"Education and training services","Open tender","Education and Training Services","Education and Training Services",4,475800,85800,390000,0,"ALLEGANY CONSULTING PTY LTD"
"Department of Defence","67110356048",95480,"Facilitation of Executive training","Prequalified tender","Management advisory services","Management advisory services",3,153049.6,11495,0,141554.6,"ALLEGANY CONSULTING PTY LTD"
"Department of Broadband Communications and the Digital Economy","67117645708",4149224.2,"Creative Services","Prequalified tender","Advertising","Advertising",3,7294224.2,0,0,7294224.2,"GEORGE PATTERSON Y & R"
"Department of Defence","67117645708",11754650.96,"Creative advertising Services for Defence Force Recruiting","Prequalified tender","Advertising","Advertising",6,22148721.74,27428.13,0,22121293.61,"GEORGE PATTERSON Y & R"
"Department of Education Employment and Workplace Relations","67972164718",232492,"Provision of Insolvency Services","Limited tender","Public administration and finance services","Public administration and finance services",22,1406790.7,1406790.7,0,0,"PPB"
"Australian Taxation Office","67972164718",38500,"Provision of Valuation Services","Open tender","Management advisory services","Management advisory services",1,38500,0,38500,0,"PPB"
"Department of Health and Ageing","68000087507",847800,"Supply surgical masks to the National Medical Stockpile.","Open tender","Emergency and field medical services products","Emergency and field medical services products",1,847800,0,847800,0,"SMITH & NEPHEW (AUSTRALIA) PTY LTD"
"Defence Materiel Organisation","68000087507",78724.8,"MEDICAL CONSUMABLES","Limited tender","Medical Equipment and Accessories and Supplies","Medical Equipment and Accessories and Supplies",21,960138,960138,0,0,"SMITH & NEPHEW (AUSTRALIA) PTY LTD"
"Defence Materiel Organisation","68003035470",49585969.68,"C-130J TLS Contract","Open tender","Aircraft","Aerospace systems and components and equipment",268,216620647.46,137504544.11,70219100.28,8897003.07,"AUSTRALIAN AEROSPACE PTY LTD"
"Department of Human Services","68003599764",938400,"Envelopes","Open tender","Market research","Market research",4,1070191.6,0,1070191.6,0,"Candida Stationery Pty Ltd"
"Department of Finance and Deregulation","68009778018",5800000,"Comcovers external insurance service provider","Open tender","Business administration services","Business administration services",1,5800000,0,5800000,0,"Gallagher Bassett Services Pty Ltd"
"Department of the Treasury","68009778018",1215106.04,"Claims Management Services for the HIH Claims Support","Limited tender","Management advisory services","Management advisory services",2,1976254.6,1976254.6,0,0,"Gallagher Bassett Services Pty Ltd"
"Defence Materiel Organisation","68010135994",3194819.58,"Radios and Navigation for Fire Fighting Trucks","Limited tender","Safety and rescue vehicles","Fire fighting equipment",7,3934412.03,3934412.03,0,0,"SASGAR PTY LTD"
